,most_likely_dog,retweets,retweets,retweets,retweets,favorites,favorites,favorites,favorites
,count,mean,min,median,max,mean,min,median,max
basenji,9,1389.7777777777778,76,608.0,5614,3697.0,422,2234.0,14606
basset,17,2734.705882352941,101,1084.0,10396,9721.35294117647,0,2513.0,39096
beagle,20,1916.65,221,973.5,14054,5484.7,597,2451.0,36649
black-and-tan_coonhound,2,107.0,104,107.0,110,147.0,0,147.0,294
bloodhound,7,2991.714285714286,235,967.0,10603,12626.57142857143,482,2597.0,43054
bluetick,4,1152.75,514,1149.5,1798,3602.75,1689,3221.0,6280
borzoi,10,1149.2,496,950.0,2362,3385.6,828,3067.0,6377
boxer,11,1270.7272727272727,51,779.0,5289,4270.363636363636,222,2560.0,14637
briard,3,1595.6666666666667,852,1749.0,2186,7326.0,2387,6412.0,13179
bull_mastiff,5,3205.2,138,1032.0,13111,10270.0,909,6659.0,34527
cairn,3,6571.0,285,406.0,19022,769.0,0,502.0,1805
chow,48,2288.8125,7,1120.0,15815,6584.9375,0,3290.5,45076
clumber,1,5419.0,5419,5419.0,5419,17350.0,17350,17350.0,17350
cocker_spaniel,30,3512.7,39,1605.5,27168,8885.4,0,3347.0,51871
collie,11,2603.181818181818,462,1508.0,11118,6978.090909090909,0,4107.0,36411
curly-coated_retriever,3,1095.3333333333333,48,1102.0,2136,4528.666666666667,206,3750.0,9630
dalmatian,12,1365.5,47,947.0,4368,3318.6666666666665,0,2374.5,11824
flat-coated_retriever,8,2341.875,15,1849.5,5467,10373.125,493,5031.5,26007
giant_schnauzer,3,1826.6666666666667,67,1205.0,4208,7633.0,242,2561.0,20096
golden_retriever,155,3274.090322580645,53,1927.0,34949,9251.896774193548,0,5390.0,75377
groenendael,2,411.0,222,411.0,600,1103.5,523,1103.5,1684
keeshond,4,1178.0,850,1185.5,1491,3357.75,2273,3095.0,4968
kelpie,13,3987.4615384615386,258,2470.0,15338,11453.384615384615,566,9699.0,32442
komondor,3,3031.6666666666665,38,1784.0,7273,12709.0,187,7570.0,30370
kuvasz,17,5601.235294117647,54,922.0,56985,13191.29411764706,0,2689.0,114169
malamute,33,2675.5757575757575,45,1175.0,13169,6607.060606060606,0,2922.0,49426
malinois,11,2516.818181818182,274,1006.0,7778,5917.818181818182,0,2786.0,20969
miniature_pinscher,24,2266.4583333333335,11,742.5,16655,3930.125,0,1662.0,27648
miniature_poodle,8,2216.125,41,1071.5,9886,2765.375,0,1459.5,8850
miniature_schnauzer,5,1477.6,130,563.0,4768,1085.0,0,863.0,3067
papillon,7,879.7142857142857,122,945.0,1416,2948.5714285714284,584,2844.0,5169
pug,62,2102.1129032258063,69,1077.5,21302,5772.387096774193,0,3324.0,42540
redbone,6,814.5,74,700.0,1681,2658.6666666666665,200,2025.0,6409
schipperke,13,988.0,259,662.0,2522,4170.461538461538,991,3214.0,12149
silky_terrier,1,2651.0,2651,2651.0,2651,8533.0,8533,8533.0,8533
soft-coated_wheaten_terrier,14,1532.4285714285713,195,787.0,7869,4556.785714285715,405,2147.0,16572
standard_poodle,11,1295.909090909091,6,940.0,6158,2919.090909090909,0,3038.0,6848
standard_schnauzer,1,83.0,83,83.0,83,618.0,618,618.0,618
toy_poodle,50,2348.38,13,1297.5,28950,5827.14,0,3430.0,49318
toy_terrier,3,950.6666666666666,128,229.0,2495,2990.6666666666665,273,551.0,8148
vizsla,13,3687.3076923076924,161,1998.0,16303,9500.0,0,1499.0,44865
whippet,11,1314.0,294,722.0,3438,6067.636363636364,625,2305.0,21119
wire-haired_fox_terrier,2,2935.5,1723,2935.5,4148,9516.5,5780,9516.5,13253
